"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Статистика библиотеки отражает добавленные книги","tests","2026-08-27","failed","2026-08-27","TestMyBooks","test_my_books","",""
"","493","Запрос без токена авторизации возвращает 401","tests","2026-08-27","passed","2026-08-27","TestBooks","test_books","",""
"","284","Повторная регистрация с тем же username даёт 400","tests","2026-08-27","failed","2026-08-27","TestAuth","test_auth","",""
"","200","Создание тега без токена авторизации возвращает 401","tests","2026-08-27","passed","2026-08-27","TestTags","test_tags","",""
"","0","Оценка вне диапазона 1-5 отклоняется","tests","2026-08-27","failed","2026-08-27","TestMyBooks","test_my_books","",""
"","0","Чужую запись my-books нельзя удалить по id","tests","2026-08-27","failed","2026-08-27","TestIDOR","test_security","",""
"","0","Оценка вне диапазона 1-5 отклоняется","tests","2026-08-27","failed","2026-08-27","TestMyBooks","test_my_books","",""
"","0","SQL-инъекция в поиске книг не роняет сервер и не даёт лишних данных","tests","2026-08-27","failed","2026-08-27","TestInjectionAttempts","test_security","",""
"","0","Логин с неверным паролем возвращает 401","tests","2026-08-27","failed","2026-08-27","TestAuth","test_auth","",""
"","0","XSS-пейлоад в названии книги сохраняется как обычный текст, не исполняется","tests","2026-08-27","failed","2026-08-27","TestInjectionAttempts","test_security","",""
"","0","Получение несуществующей книги возвращает 404","tests","2026-08-27","failed","2026-08-27","TestBooks","test_books","",""
"","0","Оценка вне диапазона 1-5 отклоняется","tests","2026-08-27","failed","2026-08-27","TestMyBooks","test_my_books","",""
"","0","started_at/finished_at сохраняются при обновлении записи","tests","2026-08-27","failed","2026-08-27","TestMyBooks","test_my_books","",""
"","0","Фильтр по жанру возвращает только книги этого жанра","tests","2026-08-27","failed","2026-08-27","TestBooks","test_books","",""
"","0","Создание книги без обязательного поля возвращает 400","tests","2026-08-27","failed","2026-08-27","TestBooks","test_books","",""
"","0","Список тегов включает только что созданный тег","tests","2026-08-27","failed","2026-08-27","TestTags","test_tags","",""
"","0","Обновление access-токена по валидному refresh","tests","2026-08-27","failed","2026-08-27","TestAuth","test_auth","",""
"","203","Запрос без токена авторизации к my-books возвращает 401","tests","2026-08-27","passed","2026-08-27","TestMyBooks","test_my_books","",""
"","1","Добавление несуществующей книги в библиотеку возвращает 400","tests","2026-08-27","failed","2026-08-27","TestMyBooks","test_my_books","",""
"","287","Регистрация без обязательного поля возвращает 400","tests","2026-08-27","failed","2026-08-27","TestAuth","test_auth","",""
"","0","Фильтр по тегу возвращает только книги с этим тегом","tests","2026-08-27","failed","2026-08-27","TestBooks","test_books","",""
"","0","Повторное добавление одной и той же книги запрещено (unique constraint)","tests","2026-08-27","failed","2026-08-27","TestMyBooks","test_my_books","",""
"","195","Регистрация без обязательного поля возвращает 400","tests","2026-08-27","passed","2026-08-27","TestAuth","test_auth","",""
"","0","Неверная auth-схема (не Bearer) отклоняется","tests","2026-08-27","failed","2026-08-27","TestAuthSecurity","test_security","",""
"","0","Получение несуществующего тега возвращает 404","tests","2026-08-27","failed","2026-08-27","TestTags","test_tags","",""
